scenario,offline,offline,offline,online,online,online
test,000webhost,linkedin,rockyou,000webhost,linkedin,rockyou
model,,,,,,
Ablation-CharRank,0.5184165845735357,0.9008372048625855,0.7330995362318496,0.3019128053659304,0.8041325290932084,0.6432065374114745
Ablation-StructuralRank,0.7352391690278803,0.7956162100854898,0.6217734359583507,0.3713800018120303,0.7368378440818836,0.7506004782024995
Char-TFIDF,0.5184165845735357,0.9008372048625855,0.7330995362318496,0.3019128053659304,0.8041325290932084,0.6432065374114745
Entropy,0.4638117469251718,0.17309174548236314,-0.00852080515425434,0.3087161577804269,0.05065114428168794,-0.05145053805737576
LUDS,0.6350321417846397,0.6346045120489314,0.4081885337395491,0.3816533083278738,0.6277896771865594,0.5178827175142592
Length,0.5762973384774347,0.35135745011763936,0.11160944706145792,0.3401281654622021,0.2571109936494739,0.11758193055792794
RankPSM-Calibrated,0.8265504272907143,0.9411546236503777,0.7724387465607623,0.48381889928111604,0.8054782859025722,0.6760587475774883
RankPSM-Lite,0.6446142100459946,0.8859354119651401,0.7064558190103394,0.384715545941387,0.785395537714036,0.6760246779562082
Struct-HGB,0.7352391690278803,0.7956162100854898,0.6217734359583507,0.3713800018120303,0.7368378440818836,0.7506004782024995
zxcvbn-guess,0.9041616392453244,0.9079219372101225,0.7718175662229022,0.4348090565852774,0.8019819003072789,0.8119546099490045
