scenario,offline,offline,offline,online,online,online
test,000webhost,linkedin,rockyou,000webhost,linkedin,rockyou
model,,,,,,
Ablation-CharRank,0.03987507972717504,0.0016669609747483665,0.010592792039717079,0.04448316314442075,0.04074190112500604,0.029330443784799855
Ablation-StructuralRank,0.002801225069096885,0.001869391424397605,0.0021170701336842355,0.02699040122975214,0.013317433370330702,0.01335017207566751
Char-TFIDF,0.03987507972717504,0.0016669609747483665,0.010592792039717079,0.04448316314442075,0.04074190112500604,0.029330443784799855
Entropy,0.022521849555538955,0.00660443388502721,0.05416419137718699,0.17673641811572846,0.12265558526678988,0.12922526523562794
LUDS,0.0004941648327022197,0.003442441365803541,0.01641752542158469,0.12151892882116005,0.030206421566524155,0.032874337705810386
Length,0.0018875947388683626,0.00265984942128329,0.025256324235430106,0.12232797628335154,0.07277795183541758,0.09865671603826617
RankPSM-Calibrated,0.00013790646494015433,0.00013853884064020033,0.0014389751743451283,0.06860722479383737,0.005367182012208861,0.016865450309176605
RankPSM-Lite,0.007679666266354845,0.0006357054564718347,0.0014941653447897378,0.08286957577018429,0.013731933424167134,0.016865450309176605
Struct-HGB,0.002801225069096885,0.001869391424397605,0.0021170701336842355,0.02699040122975214,0.013317433370330702,0.01335017207566751
zxcvbn-guess,0.00013503341358723445,0.0003860786926299905,0.0023830991575127464,0.06860722479383737,0.0038945734225048164,0.013291032988164551
