scenario,test,model,train_seconds,infer_seconds,alpha
online,rockyou,Length,1.1920928955078125e-06,6.723403930664062e-05,
online,rockyou,Entropy,9.5367431640625e-07,0.014325141906738281,
online,rockyou,LUDS,1.430511474609375e-06,0.01595473289489746,
online,rockyou,Struct-HGB,0.5190632343292236,0.033554792404174805,
online,rockyou,Char-TFIDF,0.12590837478637695,0.006609678268432617,
online,rockyou,RankPSM-Lite,0.6424565315246582,0.043051958084106445,0.8
online,rockyou,zxcvbn-guess,0.0,0.0,
online,linkedin,Length,9.5367431640625e-07,6.580352783203125e-05,
online,linkedin,Entropy,2.6226043701171875e-06,0.01566600799560547,
online,linkedin,LUDS,2.1457672119140625e-06,0.017368078231811523,
online,linkedin,Struct-HGB,0.5285286903381348,0.27968454360961914,
online,linkedin,Char-TFIDF,0.18566417694091797,0.01171565055847168,
online,linkedin,RankPSM-Lite,0.7836427688598633,0.046128273010253906,0.35000000000000003
online,linkedin,zxcvbn-guess,0.0,0.0,
online,000webhost,Length,1.9073486328125e-06,6.031990051269531e-05,
online,000webhost,Entropy,7.152557373046875e-07,0.01567697525024414,
online,000webhost,LUDS,2.1457672119140625e-06,0.01722264289855957,
online,000webhost,Struct-HGB,0.49459385871887207,0.02871394157409668,
online,000webhost,Char-TFIDF,0.14182019233703613,0.0076792240142822266,
online,000webhost,RankPSM-Lite,0.6941812038421631,0.0424342155456543,0.6000000000000001
online,000webhost,zxcvbn-guess,0.0,0.0,
offline,rockyou,Length,7.152557373046875e-07,0.0006010532379150391,
offline,rockyou,Entropy,2.384185791015625e-06,0.15478897094726562,
offline,rockyou,LUDS,1.6689300537109375e-06,0.15501904487609863,
offline,rockyou,Struct-HGB,0.6079766750335693,0.23438620567321777,
offline,rockyou,Char-TFIDF,2.6074557304382324,0.14041757583618164,
offline,rockyou,RankPSM-Lite,4.799444913864136,0.4804511070251465,0.4
offline,rockyou,zxcvbn-guess,0.0,0.0,
offline,linkedin,Length,7.3909759521484375e-06,0.0009024143218994141,
offline,linkedin,Entropy,1.430511474609375e-06,0.3352031707763672,
offline,linkedin,LUDS,1.9073486328125e-06,0.36579132080078125,
offline,linkedin,Struct-HGB,1.918647289276123,0.3501625061035156,
offline,linkedin,Char-TFIDF,1.413541316986084,0.1616230010986328,
offline,linkedin,RankPSM-Lite,4.179181098937988,0.41314196586608887,0.45
offline,linkedin,zxcvbn-guess,0.0,0.0,
offline,000webhost,Length,1.430511474609375e-06,0.0006587505340576172,
offline,000webhost,Entropy,1.1920928955078125e-06,0.17406392097473145,
offline,000webhost,LUDS,2.6226043701171875e-06,0.23469161987304688,
offline,000webhost,Struct-HGB,0.4866769313812256,0.2155449390411377,
offline,000webhost,Char-TFIDF,0.9508354663848877,0.10051345825195312,
offline,000webhost,RankPSM-Lite,1.782421588897705,0.3153116703033447,0.7000000000000001
offline,000webhost,zxcvbn-guess,0.0,0.0,
