model,weighted_spearman_mean,spearman_mean,rank_mae_mean,sor20_mean,wsor20_mean
zxcvbn-guess,0.772107784919985,0.7212724139847677,0.08200330860392926,0.01993712156598586,0.014782840411372783
RankPSM-Calibrated,0.7509166217105051,0.6745524584685129,0.09695985385821748,0.025090199228909246,0.015425879599191386
RankPSM-Lite,0.6805235337721842,0.48674944496567485,0.14491265761276387,0.03939246163308602,0.020546082761857407
Ablation-StructuralRank,0.668574523194689,0.4626987987522824,0.16182007052593952,0.03512622375649901,0.010074282217154847
Struct-HGB,0.668574523194689,0.4626987987522824,0.16182007052593952,0.03512622375649901,0.010074282217154847
Ablation-CharRank,0.6502675329230974,0.3824225911662313,0.17475658349570525,0.052852296381851384,0.027781723465977858
Char-TFIDF,0.6502675329230974,0.3824225911662313,0.17475658349570525,0.052852296381851384,0.027781723465977858
LUDS,0.5341918151003021,0.4037641625334378,0.21291199322205026,0.05353625598737705,0.034158969952264175
Length,0.29234755422102265,0.33344417406814797,0.29424750934396576,0.06465531223756069,0.05392773542543617
Entropy,0.15604990854300327,0.30434458619859345,0.3299869616962328,0.09920525169604927,0.08531795723931657
